type	task	data size	duration	throughput	throughput/node	nMachines
Hadoop	kmeans	50204553464	513.897	97693805	19538761	5
Hadoop	kmeans	50204553458	534.068	94004047	18800809	5
Hadoop	kmeans	50204553451	489.487	102565652	20513130	5
Hadoop	kmeans	50204553453	520.249	96501009	96501009	5
Hadoop	kmeans	50204553453	529.45	94823974	18964794	5
Spark	kmeans	50204553457	185.356	270854752	270854752	5
Spark	kmeans	50204553448	187.192	268198178	268198178	5
Spark	kmeans	50204553448	186.741	268845906	268845906	5
Spark	kmeans	50204553448	183.921	272968032	272968032	5
Spark	kmeans	50204553448	221.948	226199620	226199620	5
Hadoop	kmeans	50204558116	340.518	147435842	147435842	10
Hadoop	kmeans	50204558124	350.167	143373185	143373185	10
Hadoop	kmeans	50204558116	351.27	142922988	142922988	10
Hadoop	kmeans	50204558112	357.056	140606958	140606958	10
Hadoop	kmeans	50204558148	349.944	143464549	143464549	10
Spark	kmeans	50204558142	134.255	373949261	373949261	10
Spark	kmeans	50204558124	137.247	365797125	365797125	10
Spark	kmeans	50204558116	145.853	344213407	344213407	10
Spark	kmeans	50204558112	143.993	348659713	348659713	10
Spark	kmeans	50204558148	153.625	326799402	326799402	10
Hadoop	kmeans	50204567234	271.53	184895102	184895102	20
Hadoop	kmeans	50204567250	260.482	192737184	192737184	20
Hadoop	kmeans	50204567218	257.399	195045696	9752284	20
Hadoop	kmeans	50204567218	258.021	194575508	9728775	20
Hadoop	kmeans	50204567246	253.662	197919149	9895957	20
Spark	kmeans	50204567234	121.486	413253932	413253932	20
Spark	kmeans	50204567234	99.035	506937620	506937620	20
Spark	kmeans	50204567250	103.499	485072969	485072969	20
Spark	kmeans	50204567250	95.029	528307856	528307856	20
Spark	kmeans	50204567250	101.037	496892893	496892893	20
Spark	pagerank	13005097856	466.703	27865897	27865897	8
Spark	pagerank	13005097856	481.215	27025545	27025545	8
Spark	pagerank	13005097856	483.075	26921488	26921488	8
Spark	pagerank	13005097856	494.504	26299277	26299277	8
Spark	pagerank	13005097856	470.106	27664181	27664181	8
Hadoop 	pagerank	13005097856	762.287	17060631	17060631	8
Hadoop 	pagerank	13005097856	795.819	16341778	2042722	8
Hadoop 	pagerank	13005097856	790.98	16441753	2055219	8
Hadoop 	pagerank	13005097856	779.257	16689099	2086137	8
Hadoop 	pagerank	13005097856	755.726	17208747	2151093	8
Spark	pagerank	13005097856	370.004	35148533	35148533	16
Spark	pagerank	13005097856	390.434	33309337	33309337	16
Spark	pagerank	13005097856	372.225	34938808	34938808	16
Spark	pagerank	13005097856	394.603	32957422	32957422	16
Spark	pagerank	13005097856	404.108	32182233	32182233	16
Hadoop 	pagerank	13005097856	595.267	21847503	1365468	16
Hadoop 	pagerank	13005097856	653.486	19901111	1243819	16
Hadoop 	pagerank	13005097856	590.796	22012840	1375802	16
Hadoop 	pagerank	13005097856	596.686	21795547	1362221	16
Hadoop 	pagerank	13005097856	613.85	21186116	1324132	16
